GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Web,com.sismics.docs.rest.resource,ShareResource,219,0,14,0,46,0,10,0,3,0
Docs Web,com.sismics.docs.rest.resource,RouteResource,607,0,60,0,131,0,35,0,5,0
Docs Web,com.sismics.docs.rest.resource,VocabularyResource,282,0,24,0,73,0,17,0,5,0
Docs Web,com.sismics.docs.rest.resource,AppResource,334,1026,54,54,71,245,49,20,2,13
Docs Web,com.sismics.docs.rest.resource,DocsMessageBodyWriter,8,3,0,0,3,1,2,1,2,1
Docs Web,com.sismics.docs.rest.resource,GroupResource,497,151,56,8,108,37,37,3,5,3
Docs Web,com.sismics.docs.rest.resource,AuditLogResource,8,128,2,6,2,28,2,4,0,2
Docs Web,com.sismics.docs.rest.resource,UserResource,1437,377,142,30,317,83,94,14,11,11
Docs Web,com.sismics.docs.rest.resource,CommentResource,235,0,16,0,53,0,12,0,4,0
Docs Web,com.sismics.docs.rest.resource,AclResource,40,381,9,21,6,77,8,11,0,4
Docs Web,com.sismics.docs.rest.resource,TagResource,117,394,22,20,21,91,17,10,0,6
Docs Web,com.sismics.docs.rest.resource,FileResource,1064,91,77,5,259,21,57,2,16,2
Docs Web,com.sismics.docs.rest.resource,MetadataResource,247,0,14,0,57,0,12,0,5,0
Docs Web,com.sismics.docs.rest.resource,WebhookResource,168,0,10,0,40,0,9,0,4,0
Docs Web,com.sismics.docs.rest.resource,DocumentResource,967,1287,84,56,216,270,66,24,5,9
Docs Web,com.sismics.docs.rest.resource,ThemeResource.new StreamingOutput() {...},54,0,6,0,12,0,5,0,2,0
Docs Web,com.sismics.docs.rest.resource,ThemeResource,277,0,14,0,61,0,15,0,8,0
Docs Web,com.sismics.docs.rest.resource,RouteModelResource,650,0,49,0,156,0,32,0,7,0
Docs Web,com.sismics.docs.rest.resource,BaseResource,13,67,7,9,4,15,7,6,0,5
Docs Web,com.sismics.docs.rest.constant,BaseFunction,0,9,0,0,0,2,0,1,0,1
